Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
Acph-1,venom acid phosphatase,0 vs 8,-0.3,-0.71,-0.67,-0.86,-0.41,-0.37,-0.56,0.04,-0.15,0.08
LOC725246,uncharacterized LOC725246,0 vs 8,0.18,0.25,0.28,0.32,0.06,0.09,0.14,0.03,0.07,-0.17
LOC113219314,protein dopey homolog PFC0245c,0 vs 8,-0.54,-0.59,-0.53,-0.57,-0.05,0.01,-0.03,0.06,0.03,0.26
LOC102654340,uncharacterized LOC102654340,0 vs 8,-0.25,-0.15,-0.7,-0.72,0.1,-0.45,-0.47,-0.55,-0.57,0.59
LOC726476,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0 vs 8,0.25,0.38,0.39,0.44,0.12,0.14,0.19,0.01,0.07,-0.26
LOC552008,protein ABHD18,0 vs 8,0.14,0.1,0.16,0.18,-0.04,0.01,0.04,0.05,0.08,0.06
LOC412961,protein bicaudal D,0 vs 8,-0.09,-0.52,-0.49,-0.76,-0.43,-0.4,-0.68,0.03,-0.24,0.06
LOC552280,protein SDA1 homolog,0 vs 8,-0.33,-0.34,-0.27,-0.58,-0.01,0.05,-0.25,0.06,-0.24,0.25
LOC410271,BMP-binding endothelial regulator protein,0 vs 8,0.2,0.32,0.31,0.59,0.12,0.11,0.39,-0.01,0.27,-0.01
LOC551778,uncharacterized LOC551778,0 vs 8,0.47,0.81,0.83,0.79,0.34,0.36,0.33,0.02,-0.01,-0.66
LOC412035,condensin complex subunit 1,0 vs 8,-0.07,-0.09,-0.18,-0.47,-0.02,-0.11,-0.4,-0.09,-0.38,0.18
LOC411214,BTB/POZ domain-containing protein kctd15-like,0 vs 8,0.51,0.34,0.3,0.43,-0.17,-0.21,-0.08,-0.04,0.08,0.09
LOC408918,death-associated protein 1,0 vs 8,0.21,0.39,0.42,0.54,0.18,0.2,0.32,0.03,0.15,-0.36
LOC413592,probable ATP-dependent RNA helicase DHX34,0 vs 8,-0.23,-0.29,-0.2,-0.47,-0.06,0.03,-0.24,0.09,-0.18,0.01
LOC725656,uncharacterized protein DDB_G0288805,0 vs 8,-0.13,-0.31,-0.21,-0.39,-0.18,-0.08,-0.26,0.1,-0.09,0.23
LOC410549,ubiquitin carboxyl-terminal hydrolase ZUFSP,0 vs 8,-0.44,-0.5,-0.44,-0.66,-0.06,0,-0.22,0.06,-0.16,-0.07
LOC411226,tubulin epsilon chain,0 vs 8,-0.3,-0.26,-0.26,-0.39,0.04,0.04,-0.09,-0,-0.13,0.06
LOC411491,DNA/RNA-binding protein KIN17,0 vs 8,-0.04,-0.12,-0.04,-0.36,-0.09,-0.01,-0.33,0.08,-0.24,-0.05
LOC409370,brefeldin A-inhibited guanine nucleotide-exchange protein 1,0 vs 8,-0.09,-0.28,-0.28,-0.53,-0.19,-0.2,-0.45,-0.01,-0.26,-0.1
LOC100577336,uncharacterized LOC100577336,0 vs 8,0.17,0.6,0.37,0.55,0.43,0.2,0.38,-0.23,-0.05,-0.36
LOC727591,RRP12-like protein,0 vs 8,-0.29,-0.17,-0.26,-0.49,0.12,0.03,-0.21,-0.09,-0.33,0.14
LOC725173,G patch domain-containing protein 11,0 vs 8,-0.43,-0.21,-0.43,-0.47,0.22,-0,-0.04,-0.22,-0.26,0.29
LOC724565,trypsin-7,0 vs 8,0.32,0.89,0.78,1.13,0.57,0.45,0.8,-0.11,0.24,-0.69
LOC100576155,uncharacterized LOC100576155,0 vs 8,-0.16,-0.11,-0.24,-0.27,0.05,-0.08,-0.11,-0.13,-0.16,0.24
LOC113219382,small subunit ribosomal RNA,0 vs 8,-0.04,-0.39,-0.62,-0.83,-0.35,-0.58,-0.79,-0.23,-0.44,0.22
LOC727263,chromobox protein homolog 5,0 vs 8,-0.34,-0.25,-0.28,-0.4,0.09,0.06,-0.07,-0.03,-0.15,0.22
LOC724237,prostaglandin E2 receptor EP3 subtype,0 vs 8,0.41,0.55,0.49,0.56,0.14,0.07,0.15,-0.06,0.01,-0.07
LOC107964061,cell wall integrity and stress response component 1,0 vs 8,0.37,0.33,0.6,0.63,-0.04,0.24,0.26,0.27,0.3,-0.62
LOC724948,protein KRI1 homolog,0 vs 8,-0.33,-0.29,-0.3,-0.47,0.05,0.03,-0.14,-0.02,-0.19,0.21
LOC411970,G kinase-anchoring protein 1,0 vs 8,-0.21,-0.21,-0.23,-0.38,-0,-0.01,-0.16,-0.01,-0.16,0.18
LOC409898,protein expanded-like,0 vs 8,-0.1,-0.28,-0.32,-0.45,-0.18,-0.22,-0.35,-0.04,-0.18,-0.03
LOC550991,protein HID1,0 vs 8,-0.15,-0.22,-0.38,-0.5,-0.07,-0.22,-0.34,-0.15,-0.27,-0.07
LOC724832,innexin inx2,0 vs 8,-0.04,-0.28,-0.53,-0.63,-0.24,-0.49,-0.59,-0.25,-0.35,0.21
LOC107963989,uncharacterized LOC107963989,0 vs 8,-0.35,-0.63,-0.53,-0.61,-0.28,-0.18,-0.26,0.1,0.02,0.61
LOC102655156,uncharacterized LOC102655156,0 vs 8,-0.85,-0.5,-0.54,-0.66,0.35,0.31,0.19,-0.04,-0.15,0.69
LOC409786,jazigo,0 vs 8,-0.11,-0.02,-0.45,-0.53,0.09,-0.33,-0.42,-0.43,-0.51,0.2
Twi,twist,0 vs 8,0.44,0.31,0.25,0.41,-0.14,-0.19,-0.04,-0.06,0.1,-0.01
LOC412081,uncharacterized LOC412081,0 vs 8,-0.13,-0.25,-0.31,-0.68,-0.12,-0.18,-0.55,-0.06,-0.43,-0.19
LOC727113,probable ATP-dependent RNA helicase spindle-E,0 vs 8,-0.24,-0.22,-0.18,-0.36,0.03,0.07,-0.12,0.04,-0.15,-0.11
LOC100578924,zinc finger protein 271,0 vs 8,0.07,0.16,0.13,0.21,0.1,0.06,0.14,-0.04,0.05,0.04
LOC551474,tudor and KH domain-containing protein homolog,0 vs 8,-0.14,-0.15,-0.26,-0.32,-0.01,-0.12,-0.18,-0.11,-0.17,0.09
LOC725625,uncharacterized LOC725625,0 vs 8,0.14,0.22,0.41,0.57,0.08,0.27,0.43,0.2,0.35,-0.07
LOC724843,uncharacterized LOC724843,0 vs 8,-0.29,-0.66,-0.64,-0.71,-0.37,-0.36,-0.42,0.01,-0.05,0.26
LOC413167,melanotransferrin,0 vs 8,0.03,0.19,0.24,0.3,0.17,0.21,0.27,0.04,0.11,-0.24
LOC113219108,uncharacterized LOC113219108,0 vs 8,0.03,0.35,0.43,0.67,0.32,0.4,0.65,0.08,0.32,-0.43
LOC408432,glutamate decarboxylase,0 vs 8,-0.22,-0.61,-0.45,-0.83,-0.39,-0.23,-0.61,0.16,-0.22,0.43
LOC725550,proteasome activator complex subunit 4A,0 vs 8,-0.08,-0.22,-0.24,-0.45,-0.14,-0.16,-0.37,-0.02,-0.22,0.07
LOC410980,polyphosphoinositide phosphatase,0 vs 8,-0.12,-0.1,-0.2,-0.28,0.02,-0.08,-0.15,-0.1,-0.17,0.07
LOC551498,uncharacterized LOC551498,0 vs 8,-0.2,-0.23,-0.22,-0.31,-0.03,-0.02,-0.11,0.01,-0.08,-0.09
LOC410007,putative phospholipase B-like lamina ancestor,0 vs 8,0.26,0.21,0.18,0.32,-0.05,-0.08,0.06,-0.03,0.11,-0.01
LOC412030,ras-related protein Rab-30,0 vs 8,0.04,0.18,0.06,0.44,0.14,0.02,0.4,-0.12,0.26,-0.04
LOC725982,vacuolar protein sorting-associated protein 54,0 vs 8,-0.19,-0.31,-0.33,-0.42,-0.12,-0.14,-0.23,-0.02,-0.11,-0.05
LOC411612,protein virilizer,0 vs 8,-0.18,-0.27,-0.25,-0.41,-0.09,-0.07,-0.23,0.02,-0.14,0.11
LOC412339,cyclin-dependent kinase 7,0 vs 8,-0.22,-0.1,-0.21,-0.24,0.13,0.02,-0.01,-0.11,-0.14,0.17
LOC414017,protein Daple,0 vs 8,-0.19,-0.07,-0.15,-0.46,0.12,0.04,-0.27,-0.08,-0.39,-0.12
LOC410037,dnaJ homolog subfamily C member 7,0 vs 8,-0.19,-0.33,-0.33,-0.58,-0.14,-0.14,-0.4,-0,-0.25,0.03
LOC411011,guanine nucleotide-binding protein G(s) subunit alpha,0 vs 8,0.34,0.67,0.63,0.75,0.34,0.3,0.42,-0.04,0.08,-0.49
LOC412003,GTPase-activating protein,0 vs 8,-0.31,-0.21,-0.27,-0.53,0.1,0.04,-0.22,-0.06,-0.32,-0.15
LOC100576572,serine/threonine-protein kinase RIO1,0 vs 8,-0.21,-0.27,-0.21,-0.44,-0.06,-0,-0.23,0.06,-0.17,0.17
LOC409579,Fanconi anemia group M protein,0 vs 8,-0.31,-0.15,-0.33,-0.53,0.16,-0.02,-0.22,-0.18,-0.38,-0.08
LOC409083,uncharacterized LOC409083,0 vs 8,-0.22,-0.11,-0.3,-0.35,0.11,-0.08,-0.13,-0.19,-0.24,0.1
LOC409725,target of rapamycin complex subunit lst8,0 vs 8,0.25,0.19,0.16,0.27,-0.06,-0.09,0.02,-0.03,0.08,0.05
LOC413917,"alpha-1,2-mannosyltransferase ALG9",0 vs 8,-0.3,-0.37,-0.33,-0.41,-0.07,-0.03,-0.11,0.04,-0.04,0.06
LOC410208,serine/threonine-protein kinase 3,0 vs 8,0,-0.28,-0.37,-0.65,-0.28,-0.37,-0.66,-0.09,-0.37,-0.06
LOC552701,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",0 vs 8,0.2,0.25,0.19,0.32,0.05,-0.01,0.13,-0.06,0.07,0.01
LOC100576863,uncharacterized LOC100576863,0 vs 8,-0.32,-0.25,-0.3,-0.46,0.06,0.02,-0.14,-0.04,-0.2,0.24
LOC727650,uncharacterized LOC727650,0 vs 8,0.07,0.22,0.2,0.26,0.15,0.12,0.18,-0.02,0.04,-0.22
LOC413099,enhancer of mRNA-decapping protein 4,0 vs 8,-0,-0.18,-0.13,-0.56,-0.18,-0.13,-0.56,0.05,-0.38,0.1
LOC410600,uncharacterized LOC410600,0 vs 8,0.21,0.3,0.29,0.35,0.09,0.08,0.14,-0.01,0.05,-0.1
LOC113219277,uncharacterized LOC113219277,0 vs 8,-0,0.15,0.12,0.4,0.15,0.12,0.4,-0.03,0.25,0.02
LOC409799,ataxin-7-like protein 3,0 vs 8,0.09,0.3,0.27,0.33,0.2,0.18,0.24,-0.03,0.03,-0.04
LOC552753,uncharacterized LOC552753,0 vs 8,-0.07,-0.09,-0.22,-0.28,-0.01,-0.15,-0.21,-0.13,-0.2,0.12
LOC100577196,uncharacterized LOC100577196,0 vs 8,-0.03,-0.08,-0.45,-0.62,-0.05,-0.42,-0.6,-0.37,-0.54,0.17
LOC724349,homeobox protein 2,0 vs 8,-0.24,-0.24,-0.34,-0.41,-0.01,-0.11,-0.17,-0.1,-0.16,0.23
LOC726720,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,0 vs 8,-0.11,-0.06,-0.19,-0.29,0.05,-0.08,-0.18,-0.13,-0.23,0.14
LOC726875,C2 domain-containing protein 5,0 vs 8,-0.17,-0.17,-0.22,-0.28,0,-0.05,-0.11,-0.05,-0.11,0.11
LOC409544,ruvB-like 1,0 vs 8,-0.08,-0.09,-0.18,-0.3,-0,-0.1,-0.22,-0.09,-0.22,0.28
LOC413439,single-strand selective monofunctional uracil DNA glycosylase,0 vs 8,-0.05,-0,-0.26,-0.34,0.05,-0.21,-0.29,-0.25,-0.33,0.34
LOC551021,low-density lipoprotein receptor-related protein 6,0 vs 8,-0.31,-0.35,-0.47,-0.66,-0.04,-0.16,-0.35,-0.12,-0.31,0.02
LOC411315,visual system homeobox 2,0 vs 8,-0.1,-0.19,-0.22,-0.51,-0.09,-0.12,-0.41,-0.04,-0.32,-0.07
LOC551894,transient receptor potential mucolipin,0 vs 8,-0.28,-0.26,-0.4,-0.53,0.02,-0.12,-0.25,-0.14,-0.27,-0.15
LOC102654111,platelet glycoprotein V,0 vs 8,0.21,0.36,0.6,0.89,0.16,0.39,0.68,0.23,0.52,-0.45
LOC552782,dentin sialophosphoprotein,0 vs 8,0,-0.31,-0.32,-0.51,-0.32,-0.32,-0.51,-0.01,-0.2,0.06
LOC413987,polypeptide N-acetylgalactosaminyltransferase 5,0 vs 8,-0.11,-0.14,-0.25,-0.32,-0.03,-0.14,-0.21,-0.11,-0.17,0.18
LOC411797,protein cereblon,0 vs 8,-0.12,-0.26,-0.19,-0.32,-0.14,-0.07,-0.19,0.07,-0.05,-0.13
LOC725959,serine/arginine repetitive matrix protein 2,0 vs 8,-0.01,0.01,-0.02,-0.32,0.02,-0.01,-0.31,-0.03,-0.33,-0.08
LOC102654889,zinc finger protein 37,0 vs 8,-0.12,-0.24,-0.31,-0.49,-0.11,-0.18,-0.36,-0.07,-0.25,-0.02
LOC725127,uncharacterized LOC725127,0 vs 8,0.37,0.15,0.35,0.37,-0.22,-0.01,0.01,0.21,0.23,0.17
LOC409790,multiple coagulation factor deficiency protein 2 homolog,0 vs 8,0.07,0.1,0.17,0.26,0.03,0.1,0.19,0.07,0.15,-0.13
LOC413152,LIM domain kinase 1,0 vs 8,-0,-0.13,-0.22,-0.55,-0.13,-0.22,-0.55,-0.09,-0.42,-0.11
LOC413286,cyclin-dependent kinase-like 2,0 vs 8,0.18,0.18,0.31,0.39,0.01,0.13,0.21,0.13,0.21,-0.19
LOC410371,calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type,0 vs 8,-0.15,-0.03,-0.26,-0.3,0.12,-0.11,-0.16,-0.23,-0.27,0.02
LOC100577577,peritrophin-1,0 vs 8,0.07,0.25,0.4,0.44,0.18,0.32,0.37,0.14,0.19,-0.23
LOC100577406,uncharacterized LOC100577406,0 vs 8,0.12,0.18,0.51,0.51,0.06,0.39,0.39,0.32,0.33,-0.32
LOC408589,macro domain-containing protein CT2219,0 vs 8,0.12,0.29,0.29,0.39,0.17,0.18,0.28,0,0.1,-0.09
Fem,feminizer,0 vs 8,-0.09,-0.08,-0.13,-0.45,0.01,-0.03,-0.35,-0.05,-0.36,0.1
LOC726934,PI-PLC X domain-containing protein 1,0 vs 8,-0.39,-0.79,-0.83,-1.08,-0.4,-0.44,-0.69,-0.04,-0.29,0.72
LOC726028,probable rRNA-processing protein EBP2 homolog,0 vs 8,-0.18,-0.15,-0.32,-0.45,0.03,-0.14,-0.27,-0.17,-0.3,0.41
LOC410482,adenylosuccinate lyase,0 vs 8,0.07,0.26,0.32,0.54,0.19,0.25,0.47,0.06,0.28,-0.18
LOC100578537,UV radiation resistance-associated gene protein,0 vs 8,-0.39,-0.23,-0.29,-0.45,0.16,0.1,-0.06,-0.06,-0.22,0.02
LOC724415,dynamin-binding protein,0 vs 8,-0.05,-0.13,-0.19,-0.51,-0.08,-0.15,-0.46,-0.06,-0.38,-0.02
LOC100578665,uncharacterized LOC100578665,0 vs 8,-0.11,-0.28,-0.18,-0.32,-0.17,-0.06,-0.2,0.11,-0.03,0.14
LOC100576700,class A basic helix-loop-helix protein 15,0 vs 8,0.63,1.25,1.33,1.57,0.62,0.71,0.94,0.09,0.32,-1.07
LOC552798,putative sodium-coupled neutral amino acid transporter 10,0 vs 8,-0.28,-0.34,-0.25,-0.46,-0.06,0.02,-0.18,0.08,-0.12,-0.09
LOC411939,guanine nucleotide exchange factor subunit Rich,0 vs 8,-0.19,-0.05,-0.18,-0.41,0.13,0.01,-0.22,-0.13,-0.36,-0.13
LOC408952,oxysterol-binding protein 1,0 vs 8,0.09,0.07,0.16,0.23,-0.03,0.07,0.13,0.09,0.16,-0.22
LOC409866,eukaryotic initiation factor 4A-III,0 vs 8,-0.05,-0.02,-0.09,-0.21,0.03,-0.04,-0.16,-0.07,-0.19,0.15
LOC102655921,uncharacterized LOC102655921,0 vs 8,0.17,0.62,0.16,1.04,0.45,-0.01,0.87,-0.46,0.42,0.39
LOC413011,"serine--tRNA ligase, cytoplasmic",0 vs 8,-0.26,-0.27,-0.19,-0.3,-0.01,0.08,-0.04,0.08,-0.03,-0.02
LOC725328,protein bud22,0 vs 8,-0.08,-0.28,-0.28,-0.54,-0.2,-0.19,-0.46,0.01,-0.26,-0.03
LOC552823,"malonyl-CoA decarboxylase, mitochondrial",0 vs 8,-0.19,-0.43,-0.36,-0.46,-0.25,-0.17,-0.27,0.08,-0.02,0.13
LOC724370,probable cytosolic Fe-S cluster assembly factor AGAP009023,0 vs 8,-0.34,-0.29,-0.25,-0.34,0.05,0.09,-0,0.04,-0.05,0.07
LOC551364,homeobox protein SIX3,0 vs 8,-0.13,-0.22,-0.41,-0.47,-0.09,-0.27,-0.34,-0.19,-0.25,0.16
LOC100577026,mitochondrial amidoxime-reducing component 1,0 vs 8,0.1,0.02,0.26,0.42,-0.07,0.16,0.32,0.23,0.4,-0.07
LOC107965175,uncharacterized LOC107965175,0 vs 8,0.49,0.41,0.54,0.61,-0.08,0.05,0.12,0.13,0.2,0.22
LOC551682,coiled-coil domain-containing protein 6,0 vs 8,-0.1,-0.33,-0.23,-0.65,-0.23,-0.13,-0.55,0.1,-0.32,-0.2
LOC551222,syntaxin-12,0 vs 8,-0.04,-0.53,-0.47,-0.69,-0.48,-0.43,-0.64,0.05,-0.16,0.15
LOC724435,ribosomal RNA-processing protein 8,0 vs 8,-0.34,-0.41,-0.42,-0.48,-0.07,-0.08,-0.14,-0.02,-0.07,0.33
LOC551880,uncharacterized LOC551880,0 vs 8,-0.29,-0.37,-0.33,-0.48,-0.09,-0.04,-0.19,0.05,-0.1,0.14
LOC726339,protein ELYS,0 vs 8,-0.09,-0.18,-0.18,-0.49,-0.09,-0.09,-0.4,-0,-0.31,0.04
LOC100578248,uncharacterized serine-rich protein C215.13,0 vs 8,0.23,0.35,0.25,0.69,0.12,0.02,0.46,-0.09,0.34,-0
LOC102654054,uncharacterized LOC102654054,0 vs 8,0.27,0.24,0.36,0.38,-0.03,0.08,0.11,0.12,0.14,-0.1
LOC102653965,ralA-binding protein 1,0 vs 8,-0.24,-0.24,-0.12,-0.38,0,0.12,-0.13,0.12,-0.13,0.06
LOC102654281,uncharacterized LOC102654281,0 vs 8,-0.06,-0.2,-0.21,-0.31,-0.14,-0.16,-0.25,-0.01,-0.11,0.25
LOC100578773,zinc finger CCHC domain-containing protein 10,0 vs 8,-0.32,-0.23,-0.25,-0.36,0.09,0.07,-0.04,-0.02,-0.13,0.22
LOC726069,atrial natriuretic peptide receptor 1,0 vs 8,0.09,0.14,0.26,0.35,0.05,0.18,0.27,0.12,0.21,-0.18
LOC411006,endoplasmic reticulum lectin 1,0 vs 8,0.03,0.11,0.15,0.17,0.08,0.12,0.15,0.03,0.06,-0.1
LOC100578797,uncharacterized LOC100578797,0 vs 8,0.43,0.52,0.48,0.58,0.09,0.05,0.16,-0.04,0.07,-0.24
LOC726832,uncharacterized LOC726832,0 vs 8,0.06,0.39,0.13,0.39,0.33,0.07,0.33,-0.26,0,0.13
LOC724799,(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O,0 vs 8,-0.29,-0.15,-0.19,-0.46,0.14,0.1,-0.18,-0.04,-0.31,0.06
LOC410151,retinal homeobox protein Rx2,0 vs 8,-0.1,-0.11,-0.11,-0.29,-0.01,-0.01,-0.19,-0,-0.18,-0.04
LOC107964835,protein RRP5 homolog,0 vs 8,-0.14,-0.2,-0.3,-0.42,-0.06,-0.16,-0.28,-0.1,-0.22,0.23
LOC409856,guanine nucleotide-releasing factor 2,0 vs 8,-0.23,-0.45,-0.34,-0.53,-0.22,-0.11,-0.31,0.11,-0.09,0.04
LOC551148,coiled-coil domain-containing protein 25,0 vs 8,-0.18,-0.15,-0.23,-0.34,0.04,-0.05,-0.16,-0.09,-0.2,0.19
LOC552820,forkhead box protein N3,0 vs 8,0.03,-0.43,-0.33,-0.88,-0.46,-0.36,-0.91,0.1,-0.45,-0.17
LOC410571,DNA topoisomerase 3-alpha,0 vs 8,-0.39,-0.26,-0.27,-0.41,0.12,0.12,-0.03,-0.01,-0.15,0.07
LOC410099,THO complex subunit 2,0 vs 8,-0.17,-0.08,-0.07,-0.34,0.09,0.09,-0.17,0,-0.26,0.01
LOC727127,NK-tumor recognition protein,0 vs 8,-0.06,-0.26,-0.24,-0.61,-0.2,-0.18,-0.55,0.02,-0.34,0.09
LOC552019,rootletin,0 vs 8,-0.33,-0.52,-0.59,-0.63,-0.19,-0.26,-0.3,-0.07,-0.11,0.01
LOC408347,putative uncharacterized protein DDB_G0277255,0 vs 8,-0.12,-0.17,-0.28,-0.44,-0.05,-0.17,-0.32,-0.11,-0.27,-0.06
LOC552082,vinculin,0 vs 8,-0.05,-0.39,-0.31,-0.65,-0.35,-0.27,-0.6,0.08,-0.25,0.03
LOC100578659,uncharacterized LOC100578659,0 vs 8,0.17,0.35,0.4,0.55,0.18,0.22,0.38,0.04,0.2,-0.1
LOC409108,uncharacterized LOC409108,0 vs 8,-0.03,-0.09,-0.37,-0.42,-0.05,-0.34,-0.39,-0.28,-0.33,-0.1
LOC411163,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",0 vs 8,-0.24,-0.13,-0.42,-0.43,0.11,-0.18,-0.19,-0.29,-0.3,0.11
MARCH6,membrane-associated ring finger (C3HC4) 6,0 vs 8,-0.1,-0.37,-0.39,-0.54,-0.26,-0.28,-0.43,-0.02,-0.17,0.01
LOC100578513,KIF1-binding protein homolog,0 vs 8,-0.17,-0.13,-0.21,-0.41,0.03,-0.04,-0.24,-0.08,-0.27,0.01
LOC551436,T-complex protein 1 subunit theta,0 vs 8,-0.06,-0.06,-0.14,-0.25,0,-0.08,-0.18,-0.09,-0.19,0.15
LOC552815,high mobility group protein 20A,0 vs 8,-0.16,0.02,-0.1,-0.23,0.19,0.07,-0.07,-0.12,-0.25,0.1
LOC411714,uncharacterized protein C05D11.1,0 vs 8,-0.08,-0.12,-0.16,-0.33,-0.04,-0.08,-0.25,-0.05,-0.21,0.01
LOC411366,UPF0047 protein YjbQ,0 vs 8,-0.1,-0.4,-0.36,-0.53,-0.3,-0.26,-0.43,0.04,-0.13,0.05
LOC411843,COP9 signalosome complex subunit 7b,0 vs 8,0.21,0.32,0.25,0.32,0.11,0.04,0.11,-0.07,-0,0.03
LOC408471,brefeldin A-inhibited guanine nucleotide-exchange protein 3,0 vs 8,0.42,0.27,0.34,0.38,-0.15,-0.08,-0.04,0.07,0.11,-0.11
LOC409252,protein Jumonji,0 vs 8,-0.09,-0.17,-0.3,-0.57,-0.08,-0.2,-0.48,-0.12,-0.4,-0.08
LOC724120,paired mesoderm homeobox protein 2B,0 vs 8,-0.13,0.08,-0.28,-0.41,0.21,-0.15,-0.29,-0.36,-0.49,-0.01
LOC100577981,insulin-like growth factor-binding protein complex acid labile subunit,0 vs 8,0.39,0.12,0.38,0.5,-0.27,-0.01,0.11,0.26,0.38,0.14
LOC100578071,DNA polymerase zeta catalytic subunit,0 vs 8,-0.16,-0.34,-0.15,-0.37,-0.19,0.01,-0.21,0.19,-0.02,0.01
LOC412036,exocyst complex component 3,0 vs 8,0.01,-0.04,-0.12,-0.42,-0.05,-0.13,-0.43,-0.08,-0.38,0.04
LOC551822,ATP-dependent RNA helicase DDX42,0 vs 8,0.17,0.23,0.1,0.24,0.06,-0.07,0.07,-0.13,0.01,0.06
LOC409119,REST corepressor 3,0 vs 8,-0.02,-0.07,-0.08,-0.2,-0.05,-0.06,-0.18,-0.01,-0.13,0.12
LOC409217,guanine nucleotide exchange factor DBS,0 vs 8,-0.22,-0.08,-0.18,-0.47,0.14,0.04,-0.25,-0.1,-0.38,-0.2
LOC726147,peflin,0 vs 8,0.03,0.27,0.23,0.28,0.24,0.2,0.26,-0.04,0.01,-0.02
LOC413134,UNC93-like protein,0 vs 8,0.11,0.24,0.78,1.07,0.13,0.68,0.97,0.54,0.84,-0.82
LOC411172,tetratricopeptide repeat protein 5,0 vs 8,-0.06,-0.24,-0.29,-0.36,-0.18,-0.23,-0.29,-0.05,-0.12,0.24
LOC725776,B-cell CLL/lymphoma 6 member B protein,0 vs 8,0.29,0.34,0.4,0.51,0.05,0.11,0.22,0.06,0.17,-0.29
LOC726461,protein shank,0 vs 8,0.15,0.09,0.24,0.34,-0.06,0.09,0.2,0.15,0.26,-0.36
LOC412787,protein TAPT1 homolog,0 vs 8,0.01,-0.2,-0.25,-0.28,-0.21,-0.26,-0.28,-0.04,-0.07,0.2
LOC410777,dedicator of cytokinesis protein 9,0 vs 8,-0.18,-0.17,-0.22,-0.42,0.02,-0.03,-0.24,-0.05,-0.26,-0.12
LOC551363,vesicle transport through interaction with t-SNAREs homolog 1A,0 vs 8,0.18,0.13,0.22,0.24,-0.05,0.04,0.06,0.08,0.1,-0.21
LOC726570,CWF19-like protein 2,0 vs 8,-0.32,-0.31,-0.23,-0.41,0.01,0.08,-0.09,0.07,-0.1,0
LOC102656814,uncharacterized LOC102656814,0 vs 8,0.22,0.43,0.24,0.42,0.21,0.02,0.2,-0.19,-0.01,0.07
LOC113218774,uncharacterized LOC113218774,0 vs 8,-0.16,-0.38,-0.53,-0.64,-0.23,-0.37,-0.49,-0.15,-0.26,0.36
LOC100577324,probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550,0 vs 8,-0.25,-0.15,-0.18,-0.32,0.11,0.08,-0.07,-0.03,-0.17,0
LOC412850,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog,0 vs 8,-0.29,-0.2,-0.14,-0.39,0.09,0.16,-0.09,0.06,-0.19,-0.18
LOC410083,"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",0 vs 8,-0.19,-0.33,-0.21,-0.44,-0.14,-0.02,-0.25,0.11,-0.11,-0.2
LOC100578515,uncharacterized LOC100578515,0 vs 8,0.14,0.09,0.14,0.37,-0.05,0.01,0.24,0.05,0.28,-0.07
LOC551462,sister chromatid cohesion protein PDS5 homolog B,0 vs 8,-0.11,0.02,-0.14,-0.41,0.13,-0.03,-0.3,-0.16,-0.43,-0.06
LOC552618,uncharacterized LOC552618,0 vs 8,-0.33,-0.34,-0.34,-0.4,-0.01,-0.01,-0.07,0,-0.06,0.05
LOC408749,ubiquitin-protein ligase E3B,0 vs 8,0.1,0.12,0.25,0.3,0.02,0.16,0.2,0.13,0.18,-0.3
LOC411541,glycerate kinase,0 vs 8,-0.38,-0.29,-0.33,-0.49,0.09,0.05,-0.1,-0.04,-0.2,-0.03
LOC102655503,probable WRKY transcription factor protein 1,0 vs 8,-0.11,-0.2,-0.19,-0.42,-0.09,-0.08,-0.31,0.01,-0.22,0.26
LOC411194,MAU2 chromatid cohesion factor homolog,0 vs 8,-0.14,-0.04,-0.18,-0.37,0.1,-0.04,-0.23,-0.14,-0.33,-0.13
LOC100577972,uncharacterized LOC100577972,0 vs 8,-0.23,-0.23,-0.17,-0.58,0,0.07,-0.35,0.07,-0.35,-0.21
LOC551212,mediator of RNA polymerase II transcription subunit 16,0 vs 8,0.13,0.14,0.18,0.19,0.01,0.05,0.06,0.04,0.05,-0.13
LOC552536,adipocyte plasma membrane-associated protein,0 vs 8,-0.37,-0.42,-0.37,-0.5,-0.05,0,-0.13,0.05,-0.08,0.06
LOC411906,histone-lysine N-methyltransferase KMT5B-B-like,0 vs 8,0.01,-0.1,-0.04,-0.43,-0.11,-0.06,-0.44,0.05,-0.34,0.04
LOC726113,protein-serine O-palmitoleoyltransferase porcupine,0 vs 8,-0.15,-0.34,-0.31,-0.32,-0.19,-0.16,-0.17,0.03,0.02,0.17
